77,Bahía Laredo 2,,sí,70°48'21'',52°56'53'',n.r.,,Nula,Suave,n.r.,n.r.
78,Bahía Laredo 3, 1993-94,sí,70°48'09'',52°56'55'',n.r.,,Media,Mediana,3,1
79,Bahía Laredo 4,19751979,sí,70°48'41'',52°57'04'',n.r.,,Nula,Mediana,n.r.,n.r.
80,Bahía Laredo 5,com pers. P. Cárdenas 2000,si,70°48'56'',52°57'06'',52°56'54'',,Morrena,,60,Funerario
81,Bahía Buena,com pers. P. Cárdenas 2000,si,,,53°36'21'',,Terraza Marina 2,Bosque,85,Campamento Base
82,Bahía Mansa 2,com pers. P. Cárdenas 2000,sí,,,n.r.,,Media,Indet.,5,5
83,Bahía Mansa 3,1968,sí,70°56'16'',53°36'20'',n.r.,,Alta,Marcada,30,30
84,Bahía Mansa 4,Legoupil et al. 1992-93,sí,70°55'45'',53°36'26'',n.r.,,Alta,Indet.,15,10
85,Bahía Munición 3,Legoupil y Schidlowsky 1993-94,si,70°55'55'',53°36'27'',no,,Aire Libre,Duna,Estratigráfico,n.r.
86,Bahía Agua Caliente 18,Emperaire 1951. En Legoupil et al. 1992-93,no,,,1 a 2,,Indet.,Mediana,6,3
87,Bahía Ponsonby 58,Legoupil et al. 1992-93,no,72°25'09'',52°39'19'',n.r.,,Indet.,Mediana,2,2
88,Bahía Rebolledo 26,Legoupil et al. 1992-93,si,71°53'07'',52°41'37'',52°31'48'',,Terraza Marina 1,,50,Campamento
89,Bahía Rebolledo 27,Legoupil et al. 1992-93,no,,,0 a 1,,Bosque,Indet.,Campamento,40
90,Bahía Rebolledo 28,Legoupil et al. 1992-93,no,72°06'08'',52°32'27'',0 a 1,,Indet.,Suave,4,10
91,Bahía Rebolledo 29,Legoupil et al. 1992-93,si,72°04'54'',52°31'58'',52°32'44'',,Terraza Marina 2,Bosque,30,Campamento
92,Bahía Rebolledo 30,Legoupil et al. 1992-93,no,,,2,,Indet.,Plano,1,3
93,Bahía Rebolledo 31,Legoupil et al. 1992-93,no,72°04',52°32'29'',2,,Indet.,Suave,10,40
94,Bahía Rebolledo 32,,no,72°06'11'',52°31'46'',12,,Indet.,Mediana,3,4
95,Paso de Indio,com pers. P. Cárdenas 2000,no,72°06'12'',52°31'44'',n.r.,,Indet.,Suave,n.r.,n.r.
96,4to Chorrillo 1,,sí,72°52'38'',52°33'18'',n.r.,,Nula,Suave,100,50
97,Bahía Santiago 1,,sí,69°56'10'',52°31'07'',n.r.,,Alta,Suave,150,200
98,Bahía Santiago 2,com pers. P. Cárdenas 2000,sí,69°52'56'',52°29'43'',n.r.,,Media,Suave,10,20
99,Bahía Santiago 3,,sí,69°52'31'',52°29'32'',n.r.,,Media,Suave,4,2
100,Bahía Santiago 4,,sí,69°52'02'',52°30'09'',n.r.,,Alta,Suave,30,30
101,San Gregorio 7,Constantinescu et al. 1998,sí,69°52'35'',52°29'27'',n.r.,,Media,Suave,200,100
102,San Gregorio 9,Constantinescu et al. 1998,sí,69°55'55'',52°31'13'',n.r.,,Alta,Suave,800,200
103,BASHOA 1,Constantinescu et al. 1998,no,69°51'47'',52°29'18'',12,,Alta,Indet.,n.r.,n.r.
104,BASHOA 2,Constantinescu et al. 1998,no,70°52'58'',52°55'26'',12,,Alta,Indet.,n.r.,n.r.
105,BASHOA 3,Constantinescu et al. 1998,no,70°52'48'',52°55'22'',10,,Alta,Indet.,n.r.,n.r.
106,BASHOA 4,Constantinescu et al. 1998,no,70°52'47'',52°55'20'',12,,Alta,Indet.,n.r.,n.r.
107,BASHOA 5,Legoupil et al. 1992-93,no,70°52'46'',52°55'21'',12,,Alta,Indet.,n.r.,n.r.
108,BASHOA 6,,no,70°52'16'',52°55'22'',10,,Alta,Indet.,n.r.,n.r.
109,Bahía Williams 25,,no,70°51'55'',52°55'33'',1 a 2,,Indet.,Suave,n.r.,n.r.
110,M1,,no,72°07'17'',52°31'01'',n.r.,,Indet.,Indet.,n.r.,n.r.
111,M4,,no,,,n.r.,,Indet.,Indet.,n.r.,n.r.
112,M5,,no,,,n.r.,,Indet.,Indet.,n.r.,n.r.
113,M6,com pers. P. Cárdenas 2000,no,,,10,,Indet.,Indet.,n.r.,n.r.
114,M7,Ocampo et al. 1998c,no,,,n.r.,,Indet.,Indet.,n.r.,n.r.
115,Basural de Buque Quemado ,,sí,,,5 aprox,,Media,Suave,40,20
116,Buque Quemado 2,,sí,69°35',52°25'06'',n.r.,,Alta,Suave,250,100
117,Buque Quemado 3,com pers. P. Cárdenas 2000,sí,69°27'08'',52°15'26'',n.r.,,Alta,Suave,100,20
118,Buque Quemado 4,,sí,69°27'26'',52°15'56'',n.r.,,Alta,Suave,50,20
119,Buque Quemado 7, Prieto 1988,sí,69°27'47'',52°16'08'',n.r.,,Media,Plano,150,100
120,M3,,no,69°35'11'',52°25'04'',n.r.,,Indet.,Indet.,n.r.,n.r.
121,Koikash-Aiken,Legoupil y Schidlowsky 1993-94,,,,n.r.,,Pradera con Arbustos,Indet.,Taller Lítico,n.r.
122,Cabo Porpoise,Legoupil y Schidlowsky 1993-94,no,,,n.r.,,Indet.,Indet.,n.r.,n.r.
123,Caleta Pesca 51,Legoupil y Schidlowsky 1993-94,no,,,n.r.,,Indet.,Suave,60,10
124,Canal Fitz-Roy 1,Legoupil 1994-95,no,72°06'09'',52°39'58'',n.r.,,Indet.,Mediana,20,10
125,Canal Fitz-Roy 2, en: Massone 1981,no,71°25'03'',52°45'31'',n.r.,,Indet.,Suave,15,10
126,Canal Fitz-Roy 3,com pers. P. Cárdenas 2000,no,71°25'29'',52°44'47'',3,,Indet.,Mediana, Campamento,4
127,Cañadón Cóndor,,si,71°24'32'',52°49'32'',52°12'12'',,Duna,,30,Campamento Efímero
128,Cañadón Condor 2,Ocampo et al. 1998c,sí,,,n.r.,,Alta,Mediana,250,50
129,Este Cañadón Cóndor,Ocampo et al. 1998c,no,69°06'36'',52°11'32'',n.r.,,Indet.,Indet.,n.r.,n.r.
130,Cañadón Cóndor 11,,no,,,n.r.,,Alta,Suave,n.r.,n.r.
131,Cañadón Cóndor 12,Ocampo et al. 1998c,no,69°07'04'',52°11'24'',n.r.,,Alta,marcada,n.r.,n.r.
132,Cañadón Grande,Ocampo et al. 1998c,no,69°06'53'',52°11'14'',n.r.,,Indet.,Indet.,n.r.,n.r.
133,Cañadón Grande 10,Ocampo et al. 1998c,no,,,n.r.,,Alta,Indet.,n.r.,n.r.
134,Cañadón Grande 7,Ocampo et al. 1998c,no,69°21'06'',52°13'50'',n.r.,,Media,Indet.,10,5
135,Cañadón Grande 8,,no,69°22'42'',52°14'16'',n.r.,,Alta,Plano,n.r.,n.r.
136,Cañadón Grande 9,,no,69°22'01'',52°14'03'',n.r.,,Alta,Plano,n.r.,n.r.
137,Cañadón Seco, 1989-90,no,69°21'18'',52°13'50'',n.r.,,Indet.,Indet.,n.r.,n.r.
138,Cañadón Seco 1,,no,,,n.r.,,Indet.,Indet.,n.r.,n.r.
139,Cañadón Seco 2,Ocampo et al. 1998c,,,,n.r.,,,Indet.,Campamento Efímero, Arte Rupestre
140,Cañadón Seco 4,Ocampo et al. 1998b,no,,,n.r.,,Indet.,Indet., Arte Rupestre,n.r.
141,Predio O'Higgins 1,Ocampo et al. 1998b,no,,,n.r.,,Alta,Suave,200,300
142,Daniel Este 19,Ocampo et al. 1998b,no,69°17'23'',52°15'39'',n.r.,,Indet.,Indet.,200,400
143,Daniel Este 20,Ocampo et al. 1998b,no,68°35'03'',52°19'42'',n.r.,,Indet.,Indet.,n.r.,n.r.
144,Daniel Este 21,Ocampo et al. 1998b,no,68°35'19'',52°19'34'',n.r.,,Indet.,Indet.,60,30
145,Daniel Este 22,Ocampo et al. 1998b,no,68°35'53'',52°19'47'',n.r.,,Indet.,Indet.,n.r.,n.r.
146,Daniel Este 24,,no,68°35'50'',52°19'19'',n.r.,,Indet.,Indet.,8,10
147,Daniel Este 25, IVa y Va).,no,68°36'55'',52°19'03'',n.r.,,Baja,Indet.,n.r.,n.r.
148,Corral Hotel/ Ia y Ib,Constantinescu et al. 1998,sí,68°40'49'',52°18'31'',159,,Alta,Plano,30,20
149,Dinamarquero (IIa,,si,70°34'27'',52°25'03'',52°24'57'',,,,50,Campamento Base
150,STAMAR 1,Ocampo et al. 1998b,no,,,n.r.,,Alta,Indet.,n.r.,n.r.
151,Bautismo,Ocampo et al. 1998b,sí,70°03'39'',52°32'54'',150,,Baja,Suave,10,50
152,Ea. Monte Dinero 11,Ocampo et al. 1998b,no,70°36'24'',52°26'58'',n.r.,,Indet.,Indet., Campamento,n.r.
153,Ea. Monte Dinero 13,Ocampo et al. 1998b,no,68°30'25'',52°19'51'',n.r.,,Baja,Indet.,n.r.,n.r.
154,Ea. Monte Dinero 14,Ocampo et al. 1998b,no,68°32'05'',52°19'54'',n.r.,,Indet.,Indet.,20,20
155,Ea. Monte Dinero 15,Ocampo et al. 1998b,no,68°32'54'',52°19'54'',n.r.,,Baja,Indet.,n.r.,n.r.
156,Ea. Monte Dinero 17,Legoupil 1986-87,no,68°33'20'',52°20'00'',n.r.,,Indet.,Indet.,30,60
157,Ea. Monte Dinero 18,Legoupil 1986-87,no,68°34'04'',52°20'08'',n.r.,,Indet.,Indet.,n.r.,n.r.
158,Fiordo Fanny 1,Legoupil 1986-87,no,68°34'26'',52°19'56'',2 a 3,,Baja,Indet.,6,6
159,Fiordo Fanny 2,Legoupil 1986-87,no,,,2 a 3,,Baja,Indet.,n.r.,n.r.
160,Fiordo Fanny 3,Legoupil 1986-87,no,,,2 a 3,,Media,Indet.,n.r.,n.r.
161,Fiordo Fanny 4,Legoupil 1986-87,no,,,2 a 3,,Baja,Indet.,n.r.,n.r.
162,Fiordo Fanny 5,Legoupil 1986-87,no,,,2 a 3,,Media,Indet.,n.r.,n.r.
163,Fiordo Fanny 6,,no,,,2,,Media,Indet.,n.r.,n.r.
164,Fiordo Fanny 7,1980,no,,,1 a 2,,Indet.,Indet.,n.r.,n.r.
165,Angostura Titus 1,Legoupil 1981-82,no,,,2,,Indet.,Plano,n.r.,n.r.
166,Angostura Titus 2,Legoupil 1981-82,si,,,n.r.,,,,80,Campamento Efímero
167,Fiordo Silva Palma 13 (SO13),,no,,,n.r.,,Indet.,Indet.,n.r.,n.r.
168,Punta Errázuriz (SO11),,no,,,n.r.,,Indet.,Indet.,n.r.,n.r.
169,Alero de la Frontera,,no,,,n.r.,,Indet.,Indet., Arte Rupestre,n.r.
170,Alero Peggy Bird,,no,,,n.r.,,Indet.,marcada,n.r.,n.r.
171,Alero Potrok Aike 2,,no,,,n.r.,,Indet.,Indet.,n.r.,n.r.
